media,judul,waktu,link
Tribunnews.com,Kemendagri Jadikan Pernyataan JK Jadi Rujukan Dalam Pembahasan Sengketa 4 Pulau Antara Aceh-Sumut,19/06/2025,https://www.tribunnews.com/nasional/2025/06/16/kemendagri-jadikan-pernyataan-jk-jadi-rujukan-dalam-pembahasan-sengketa-4-pulau-antara-aceh-sumut
Tribunnews.com,"Kemendagri Pindahkan 4 Pulau Milik Aceh ke Sumut, Begini Tanggapan Anggota Fraksi PKB DPR",12/06/2025,https://www.tribunnews.com/nasional/2025/06/12/kemendagri-pindahkan-4-pulau-milik-aceh-ke-sumut-begini-tanggapan-anggota-fraksi-pkb-dpr
Sonora.id,Apa Alasan 4 Pulau Aceh Masuk Sumut? Ini Penjelasan Mendagri,12/06/2025,https://www.sonora.id/read/424261082/apa-alasan-4-pulau-aceh-masuk-sumut-ini-penjelasan-mendagri
Melintas,"Resmi! Surat BKN Nomor 11143/B-BJ.03.02/SD/C.V/2025, Inilah Hasil Lengkap Uji Kompetensi Jabatan Fungsional Kepegawaian Periode Juni 2025 - Melintas",26/06/2025,https://www.melintas.id/news/346188597/resmi-surat-bkn-nomor-11143b-bj0302sdcv2025-inilah-hasil-lengkap-uji-kompetensi-jabatan-fungsional-kepegawaian-periode-juni-2025?page=2
JPNN.com Jatim,Kemendagri Putuskan Sengketa Pulau Tidak Masuk Wilayah Trenggalek dan Tulungagung,26/06/2025,https://jatim.jpnn.com/jatim-terkini/38082/kemendagri-putuskan-sengketa-pulau-tidak-masuk-wilayah-trenggalek-dan-tulungagung
Topreneur,Kemendagri Mediasi: Sengketa Pulau Aceh-Sumut Segera Usai,12/06/2025,https://www.topreneur.id/kemendagri-mediasi-sengketa-pulau-aceh-sumut-segera-usai/
Ayo Bandung,Salah Satunya Viral karena Tambang! Inilah 10 Kabupaten Kota dengan Pulau Terbanyak di Indonesia - Ayo Bandung,12/06/2025,https://www.ayobandung.com/umum/7915301824/salah-satunya-viral-karena-tambang-inilah-10-kabupaten-kota-dengan-pulau-terbanyak-di-indonesia
Akurat.co,Komisi II DPR Desak Kemendagri Data Ulang Pulau Sengketa Antarwilayah - Akurat,19/06/2025,https://www.akurat.co/nasional/1306167731/komisi-ii-dpr-desak-kemendagri-data-ulang-pulau-sengketa-antarwilayah
DISWAY JATENG,Bupati Pemalang Luncurkan Portal Satu Data - jateng.disway.id,26/06/2025,https://jateng.disway.id/read/711723/bupati-pemalang-luncurkan-portal-satu-data
pantau.com,BRIN Dorong Akses Data Geospasial Melalui Marketplace Digital untuk Dukung Pembangunan Nasional,27/06/2025,https://www.pantau.com/nasional/276629/brin-dorong-akses-data-geospasial-melalui-marketplace-digital-untuk-dukung-pembangunan-nasional
